%Data collected from Android phone

@RELATION phone

%Battery
@ATTRIBUTE Batt_Voltage  		NUMERIC
@ATTRIBUTE Batt_Current   		NUMERIC
@ATTRIBUTE Batt_Temp  			NUMERIC
@ATTRIBUTE Batt_Percent_Level   NUMERIC

%Network
@ATTRIBUTE Local_TX_Packet_Delta	NUMERIC
@ATTRIBUTE Local_TX_Byte_Delta   	NUMERIC
@ATTRIBUTE Local_RX_Packet_Delta  	NUMERIC
@ATTRIBUTE Local_RX_Byte_Delta   	NUMERIC
@ATTRIBUTE Mobile_TX_Packet_Delta  	NUMERIC
@ATTRIBUTE Mobile_TX_Byte_Delta   	NUMERIC
@ATTRIBUTE Mobile_RX_Packet_Delta  	NUMERIC
@ATTRIBUTE Mobile_RX_Byte_Delta   	NUMERIC

%Memory
@ATTRIBUTE Memory_Available  	NUMERIC
@ATTRIBUTE Memory_Percentage   	NUMERIC

%CPU
@ATTRIBUTE Load_Avg_1_min	NUMERIC
@ATTRIBUTE Load_Avg_5_min  	NUMERIC
@ATTRIBUTE Load_Avg_15_min  NUMERIC
@ATTRIBUTE Running_Entities	NUMERIC
@ATTRIBUTE Total_Entities   NUMERIC

@ATTRIBUTE Class        {Normal,Infected}


@DATA
3862,2,321,1.0,12,474234,7,454,0,0,0,0,174,0.22018878,4.52,2.7,2.22,3,848,Normal
3862,2,321,1.0,19,476697,13,1401,0,0,0,0,174,0.2202628,4.14,2.68,2.22,1,849,Normal
3862,2,321,1.0,17,478376,10,797,0,0,0,0,174,0.22003089,4.26,2.76,2.25,2,849,Normal
3862,2,321,1.0,27,483394,20,5691,0,0,0,0,164,0.20740427,3.9,2.73,2.25,1,842,Normal
3862,2,321,1.0,50,490426,38,19786,0,0,0,0,148,0.1881066,3.69,2.72,2.25,4,868,Normal
3764,2,314,1.0,1,171,0,0,0,0,0,0,120,0.15168232,4.36,2.9,2.31,4,834,Normal
3764,2,314,1.0,0,0,0,0,0,0,0,0,270,0.34107673,5.44,3.2,2.42,9,769,Normal
3764,2,314,1.0,2907,202237,10069,14228814,0,0,0,0,237,0.30013767,6.6,3.48,2.51,3,818,Normal
3764,2,314,1.0,38,215244,24,9016,0,0,0,0,235,0.29804063,6.26,3.51,2.53,1,820,Normal
3764,2,314,1.0,5,215873,2,84,0,0,0,0,234,0.2960768,5.84,3.51,2.54,4,825,Normal
3764,2,314,1.0,4,216472,0,0,0,0,0,0,231,0.292238,5.64,3.54,2.56,2,833,Normal
3776,2,323,1.0,5,217157,0,0,0,0,0,0,231,0.29186794,5.37,3.56,2.58,1,833,Normal
3776,2,323,1.0,7,217955,7,1388,0,0,0,0,232,0.29416233,5.17,3.57,2.6,4,833,Normal
3776,2,323,1.0,904,284340,2116,2995735,0,0,0,0,230,0.29124624,4.92,3.57,2.6,5,838,Normal
3776,2,323,1.0,87,295279,80,78242,0,0,0,0,230,0.29111794,4.7,3.57,2.61,1,834,Normal
3776,2,323,1.0,6,296050,0,0,0,0,0,0,231,0.2927018,4.74,3.62,2.64,1,834,Normal
3776,2,323,1.0,3,296563,0,0,0,0,0,0,232,0.29309657,4.39,3.58,2.64,3,834,Normal
3764,2,331,1.0,577,347943,658,780599,0,0,0,0,212,0.2680456,4.39,3.61,2.66,5,849,Normal
3764,2,331,1.0,42,354216,25,2494,0,0,0,0,213,0.26958507,4.42,3.64,2.68,2,844,Normal
3764,2,331,1.0,41,361366,25,2939,0,0,0,0,208,0.26327425,4.28,3.63,2.69,2,844,Normal
3764,2,331,1.0,3,361879,0,0,0,0,0,0,208,0.26349628,4.23,3.64,2.7,2,844,Normal
3764,2,331,1.0,20,364993,11,4328,0,0,0,0,211,0.26665416,4.18,3.66,2.71,1,831,Normal
3764,2,331,1.0,2993,559348,6905,9754737,0,0,0,0,224,0.28351927,4.39,3.72,2.74,1,845,Normal
3733,2,336,1.0,20,563476,11,5012,0,0,0,0,225,0.28462455,4.09,3.68,2.74,3,844,Normal
3733,2,336,1.0,22,572408,12,2211,0,0,0,0,224,0.2836377,4.07,3.69,2.76,1,844,Normal
3733,2,336,1.0,11,575234,5,682,0,0,0,0,225,0.28545842,4.06,3.7,2.77,3,842,Normal
3733,2,336,1.0,6,576005,0,0,0,0,0,0,199,0.25155059,3.81,3.66,2.77,1,836,Normal
