%Data collected from Android phone

@RELATION phone

%Battery
@ATTRIBUTE Batt_Voltage  		NUMERIC
@ATTRIBUTE Batt_Current   		NUMERIC
@ATTRIBUTE Batt_Temp  			NUMERIC
@ATTRIBUTE Batt_Percent_Level   NUMERIC

%Network
@ATTRIBUTE Local_TX_Packet_Delta	NUMERIC
@ATTRIBUTE Local_TX_Byte_Delta   	NUMERIC
@ATTRIBUTE Local_RX_Packet_Delta  	NUMERIC
@ATTRIBUTE Local_RX_Byte_Delta   	NUMERIC
@ATTRIBUTE Mobile_TX_Packet_Delta  	NUMERIC
@ATTRIBUTE Mobile_TX_Byte_Delta   	NUMERIC
@ATTRIBUTE Mobile_RX_Packet_Delta  	NUMERIC
@ATTRIBUTE Mobile_RX_Byte_Delta   	NUMERIC

%Memory
@ATTRIBUTE Memory_Available  	NUMERIC
@ATTRIBUTE Memory_Percentage   	NUMERIC

%CPU
@ATTRIBUTE Load_Avg_1_min	NUMERIC
@ATTRIBUTE Load_Avg_5_min  	NUMERIC
@ATTRIBUTE Load_Avg_15_min  NUMERIC
@ATTRIBUTE Running_Entities	NUMERIC
@ATTRIBUTE Total_Entities   NUMERIC

@ATTRIBUTE Class        {Normal,Infected}


@DATA
4165,2,350,1.0,3,241901,0,0,0,0,0,0,140,0.17724642,1.35,2.28,4.02,1,900,Infected
4165,2,350,1.0,3,242414,0,0,0,0,0,0,140,0.17794707,1.3,2.23,3.99,1,900,Infected
4165,2,350,1.0,3,242927,0,0,0,0,0,0,140,0.17788292,1.25,2.19,3.96,1,900,Infected
4165,2,350,1.0,15,244520,12,1200,0,0,0,0,139,0.1762349,1.21,2.15,3.93,1,900,Infected
4165,2,350,1.0,4,245079,1,28,0,0,0,0,140,0.17721188,1.18,2.12,3.9,1,900,Infected
4178,2,345,1.0,3,245592,0,0,0,0,0,0,140,0.17713787,1.15,2.08,3.86,2,901,Infected
4178,2,345,1.0,3,246105,0,0,0,0,0,0,140,0.17692569,1.13,2.04,3.83,1,901,Infected
4178,2,345,1.0,3,246618,0,0,0,0,0,0,139,0.17647669,1.11,2.01,3.8,1,901,Infected
4178,2,345,1.0,3,247131,0,0,0,0,0,0,139,0.17617077,1.09,1.98,3.77,1,899,Infected
4178,2,345,1.0,3,247644,0,0,0,0,0,0,138,0.1747349,1.08,1.94,3.74,1,899,Infected
4178,2,345,1.0,3,248157,0,0,0,0,0,0,139,0.17565267,1.07,1.91,3.71,1,899,Infected
